name,year,engine_capacity,horse_power,fuel,transmission,drive_unit,mileage,location,price
Renault Duster,2019,1.5,109,дизель,механика,4WD,17371,Ижевск,1 997 000 ₽
Лада Веста Кросс,2022,1.8,122,бензин,механика,передний,98000,Голицыно,1 750 000 ₽
Лада 2110,2005,1.5,78,бензин,механика,передний,100000,Домодедово,35 000 ₽
Lexus LS430,2002,4.3,281,бензин,АКПП,задний,365000,Ростов-на-Дону,1 100 000 ₽
Geely Coolray,2023,1.5,147,бензин,робот,передний,0,Сочи,2 590 000 ₽
Лада 2114 Самара,2008,1.6,81,бензин,механика,передний,130000,Тюмень,95 000 ₽
Nissan Serena,2018,2.0,150,гибрид,вариатор,4WD,56000,Челябинск,2 390 000 ₽
Honda Civic,2007,1.8,140,бензин,робот,передний,93100,Ижевск,846 000 ₽
Suzuki Jimny,2012,0.7,64,бензин,АКПП,4WD,132452,Ванино,850 000 ₽
Kia Sorento,2007,2.5,170,дизель,АКПП,4WD,170000,Екатеринбург,750 000 ₽
Ford Kuga,2014,1.6,150,бензин,механика,передний,115123,Ижевск,1 349 000 ₽
Haval Jolion,2022,1.5,143,бензин,механика,передний,8000,Калуга,1 770 000 ₽
Audi A6,2017,2.0,190,дизель,робот,передний,177500,Мулино,2 800 000 ₽
Лада 2114 Самара,2006,1.5,77,бензин,механика,передний,100000,Ленинск-Кузнецкий,145 000 ₽
Mitsubishi Pajero,2011,3.0,178,бензин,АКПП,4WD,182134,Сургут,2 479 000 ₽
Mazda 626,1997,1.8,90,бензин,механика,передний,456000,Жуковский,135 000 ₽
Лада Гранта,2018,1.6,87,бензин,механика,передний,107821,Сургут,789 000 ₽
BMW X5,2003,4.4,286,бензин,АКПП,4WD,200000,Трёхгорный,650 000 ₽
Lexus RX200t,2016,2.0,238,бензин,АКПП,4WD,87500,Томск,4 250 000 ₽
Ford Fusion,2007,1.4,80,бензин,механика,передний,158038,Сургут,569 000 ₽
Kia Sportage,2003,2.0,128,бензин,механика,4WD,229450,Липин Бор,255 000 ₽
Ford Mondeo,2012,2.0,200,бензин,робот,передний,210321,Сургут,1 019 000 ₽
Mitsubishi Delica,2005,3.0,185,бензин,АКПП,4WD,157000,Архангельск,780 000 ₽
Volkswagen Golf,1994,1.8,90,бензин,механика,передний,200000,Санкт-Петербург,200 000 ₽
Kia Carnival,2019,3.3,280,бензин,АКПП,передний,105000,Минск,2 882 784 ₽
Лада 2114 Самара,2008,1.6,81,бензин,механика,передний,190000,Пермь,120 000 ₽
Kia Carnival,2018,2.2,202,дизель,АКПП,передний,95206,Сургут,3 279 000 ₽
Chevrolet Aveo,2006,1.4,94,бензин,механика,передний,184000,Невинномысск,480 000 ₽
Renault Logan,2017,1.6,82,бензин,механика,передний,235000,Санкт-Петербург,630 000 ₽
BMW 5-Series,1998,2.5,170,бензин,механика,задний,145000,Новосибирск,550 000 ₽
Toyota Cresta,1997,2.0,140,бензин,АКПП,задний,524900,Курск,499 000 ₽
Hyundai i30,2012,1.6,130,бензин,АКПП,передний,170000,Сургут,1 179 000 ₽
BMW X1,2014,2.0,150,бензин,АКПП,задний,160000,Москва,1 525 000 ₽
BMW 3-Series,2017,2.0,184,бензин,АКПП,4WD,80000,Екатеринбург,2 735 000 ₽
Nissan Navara,2013,2.5,190,дизель,АКПП,4WD,0,Екатеринбург,1 650 000 ₽
Jeep Grand Cherokee,2013,3.0,241,дизель,АКПП,4WD,175000,Омск,2 727 272 ₽
Chevrolet Niva,2004,1.7,80,бензин,механика,4WD,190000,Челябинск,200 000 ₽
Kia Rio X (X-Line),2020,1.6,123,бензин,АКПП,передний,125000,Сочи,1 550 000 ₽
Chevrolet Lacetti,2012,1.6,109,бензин,механика,передний,260100,Екатеринбург,589 500 ₽
Mercedes-Benz M-Class,2004,3.7,235,бензин,АКПП,4WD,0,Челябинск,810 000 ₽
Лада 4x4 2121 Нива,2011,1.7,83,бензин,механика,4WD,107000,Москва,499 000 ₽
Лада Ларгус Кросс,2016,1.6,102,бензин,механика,передний,90000,Екатеринбург,799 500 ₽
